ศูนย์พัฒนาเด็กเล็กบ้านหนองหงษ์	เพชรบุรี	แก่งกระจาน	แก่งกระจาน	12.899253	99.705087	47N 576493 1426100
วัดยางชุม	เพชรบุรี	ท่ายาง	กลัดหลวง	12.783548	99.669947	47N 572714 1413293
องค์การบริหารส่วนตำบลไร่โคก	เพชรบุรี	บ้านลาด	ไร่โคก	13.11605692	99.83494837	47N 590504 1450120
สนามฟุตซอล บ้านยางน้ำกลัดเหนือ	เพชรบุรี	หนองหญ้าปล้อง	ยางน้ำกลัดเหนือ	13.188134	99.653227	47N 570784 1458033
ตึกสำนักงานป้องกันภัย (อาคารใหม่) หลังศูนย์ราชการ	ระนอง	เมืองระนอง	บางริ้น	9.898263	98.621796	47N 458537 1094188
สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดระนอง	ระนอง	เมืองระนอง	บางริ้น	9.88810827	98.62870686	47N 459294 1093064
โรงเรียนบ้านวังเบน	อุตรดิตถ์	ทองแสนขัน	บ่อทอง	17.444198	100.433825	47N 652270 1929267
ศาลาบ้านท่าช้าง หมู่ 6	อุตรดิตถ์	ท่าปลา	จริม	17.817297	100.332831	47N 641252 1970475
ศาลาประชาคมบ้านผาลาด	อุตรดิตถ์	ท่าปลา	น้ำหมัน	17.841073	100.303957	47N 638173 1973084
ศาลาอเนกประสงค์บ้านปางไฮ	อุตรดิตถ์	บ้านโคก	บ่อเบี้ย	18.185093	101.06396	47N 718305 2011891
องค์การบริหารส่วนตำบลบ้านเสี้ยว	อุตรดิตถ์	ฟากท่า	บ้านเสี้ยว	17.897966	100.820971	47N 692910 1979839
วัดนาไพร	อุตรดิตถ์	ฟากท่า	ฟากท่า	18.046497	100.90804	47N 701967 1996372
สำนักงานเทศบาลตำบลคลองทรายขาว	พัทลุง	กงหรา	คลองทรายขาว	7.4387927	99.9285769	47N 602468 822364
ศูนย์พัฒนาเด็กเล็กบ้านโหล๊ะบ้า ม.4	พัทลุง	ตะโหมด	คลองใหญ่	7.2336389	100.0730556	47N 618467 799717
องค์การบริหารส่วนตำบลทุ่งนารี	พัทลุง	ป่าบอน	ทุ่งนารี	7.230986	100.178543	47N 630115 799452
สำนักงานเทศบาลตำบลบ้านนา	พัทลุง	ศรีนครินทร์	บ้านนา	7.5672982	99.9002631	47N 599314 836565
องค์การบริหารส่วนตำบลตะแพน	พัทลุง	ศรีบรรพต	ตะแพน	7.651908	99.871776	47N 596152 845913
วัดเด่นชุมพล	แพร่	เด่นชัย	ปงป่าหวาย	18.002959	100.063505	47N 612589 1990836
ศูนย์การเรียนรู้บ้านปง	แพร่	ลอง	ต้าผามอก	18.142239	99.931688	47N 598555 2006172
ศูนย์พัฒนาเด็กเล็กบ้านนาปลากั้ง	แพร่	วังชิ้น	นาพูน	17.784925	99.766487	47N 581242 1966557
สำนักงานป้องกันฯ อบต. เตาปูน	แพร่	สอง	เตาปูน	18.51421	100.201003	47N 626775 2047499
องค์การบริหารส่วนตำบลเวียงทอง	แพร่	สูงเม่น	เวียงทอง	18.110549	100.122844	47N 618799 2002778
สนามหญ้าที่ว่าการอำเภอกระนวน	ขอนแก่น	กระนวน	หนองโก	16.706064	103.079777	48N 295257 1848025
องค์การบริหารส่วนตำบลบ้านหัน	ขอนแก่น	โนนศิลา	บ้านหัน	15.949189	102.725111	48N 256490 1764644
สำนักงานเทศบาลเมืองบัวเงิน	ขอนแก่น	น้ำพอง	บัวเงิน	16.745934	102.976267	48N 284262 1852547
ที่ว่าการอำเภอน้ำพอง	ขอนแก่น	น้ำพอง	วังชัย	16.702317	102.855947	48N 271378 1847854
โรงเรียนบ้านคำบง	ขอนแก่น	น้ำพอง	สะอาด	16.791407	102.815103	48N 267129 1857763
องค์การบริหารส่วนตำบลป่าปอ	ขอนแก่น	บ้านไผ่	ป่าปอ	15.937988	102.815573	48N 266164 1763300
ศาลากลางจังหวัดขอนแก่น	ขอนแก่น	เมืองขอนแก่น	ในเมือง	16.441363	102.836107	48N 268950 1818993
โรงเรียนบ้านแก่งประลอม	กาญจนบุรี	ไทรโยค	ไทรโยค	14.375781	98.881653	47N 487241 1589290
องค์การบริหารส่วนตำบลหนองกุ่ม	กาญจนบุรี	บ่อพลอย	หนองกุ่ม	14.24853	99.505626	47N 554544 1575272
สำนักงานเทศบาลตำบลหนองปลาไหล	กาญจนบุรี	หนองปรือ	หนองปลาไหล	14.612218	99.535441	47N 557667 1615504
องค์การบริหารส่วนตำบลบ้านแก้ง	ชัยภูมิ	แก้งคร้อ	บ้านแก้ง	16.184275	102.326666	48N 214151 1791179
องค์การบริหารส่วนตำบลบ้านขาม	ชัยภูมิ	จัตุรัส	บ้านขาม	15.495498	101.782523	47N 798543 1715069
องค์การบริหารส่วนตำบลท่ากูบ	ชัยภูมิ	ซับใหญ่	ท่ากูบ	15.635073	101.709085	47N 790463 1730422
สำนักงานป้องกันฯ หนองบัวระเหว	ชัยภูมิ	หนองบัวระเหว	หนองบัวระเหว	15.753031	101.775921	47N 797462 1743575
องค์การบริหารส่วนตำบลสะกำ	ปัตตานี	มายอ	สะกำ	6.745542779	101.4442891	47N 770198 746297
องค์การบริหารส่วนตำบลคอลอตันหยง	ปัตตานี	หนองจิก	คอลอตันหยง	6.729199963	101.2299778	47N 746504 744375
องค์การบริหารส่วนตำบลลิปะสะโง	ปัตตานี	หนองจิก	ลิปะสะโง	6.795473806	101.2406723	47N 747653 751713
สำนักงานเทศบาลตำบลหนองจิก	ปัตตานี	หนองจิก	หนองจิก	6.839379414	101.17428698766638.	47N 740290 756536
องค์การบริหารส่วนตำบลช่องแคบ	ตาก	พบพระ	ช่องแคบ	16.501882	98.695046	47N 467455 1824477
องค์การบริหารส่วนตำบลวังหมัน	ตาก	สามเงา	วังหมัน	17.203594	99.12517	47N 513309 1902082
โรงเรียนบ้านหัวปอน	แม่ฮ่องสอน	ขุนยวม	แม่ยวมน้อย	18.786308	98.053164	47N 400215 2077449
